Title,Link,Type,Keywords
ACML 2021,http://www.acml-conf.org/2021,AI-ML,"acml, icml, machine learning, academic conferences, paper submissions, acceptance rates, peer review, conference organization, conference tracks, virtual conferences"
WSDM 2022,https://www.wsdm-conference.org/2022/,AI-ML,"wsdm, web search, data mining, acm conference, refereed papers, tutorials, emerging topics, technical program, online conference, proceedings"
AAAI 2022,https://aaai.org/Conferences/AAAI-22/,AI-ML,"artificial intelligence (ai), aaai 2022 conference, ai research, scientific exchange, conference proceedings, ai workshops"
ICRA 2023,https://www.icra2023.org/,AI-ML,"robotics, automation, icra (conference), workshops, tutorials, conference sessions, exhibitions, academic exchange, ieee robotics and automation society"
ICLR 2022,https://iclr.cc/Conferences/2022,AI-ML,"iclr, learning representations, machine learning, artificial intelligence, academic conference, workshops, research submissions, peer review, program committee, ai research"
ICASSP 2023,https://2023.ieeeicassp.org/,AI-ML,"icassp 2023, acoustics, speech processing, signal processing, topic segmentation, extractive summarization, general meeting understanding, signal processing grand challenge"
AISTATS 2022,https://www.aistats.org/aistats2022/,AI-ML,"artificial intelligence, statistics, neural information processing systems, aistats 2025, neurips 2025, academic conferences, call for papers, solicited topics, machine learning, research"
WWW 2023,https://www2023.thewebconf.org/,AI-ML,"public health, climate change, covid-19, environmental health, lgbtq+ issues, education, annual meetings, conferences"
ACL 2022,https://2022.aclweb.org/,AI-ML,"acl, computational linguistics, natural language processing, language diversity, low-resource languages, endangered languages, agenda setting, academic conferences"
CVPR 2023,http://cvpr2023.thecvf.com/,AI-ML,"cvpr, neurips, computer vision, pattern recognition, neural information processing systems, machine learning, academic conferences, workshops, tutorials, scientific discussions"
L4DC 2022,https://l4dc.stanford.edu/,AI-ML,"machine learning, control, optimization, dynamics, learning for dynamics & control"
ICAPS 2022,http://icaps22.icaps-conference.org/,AI-ML,"icaps, automated, atomic physics, conferences, paper submissions, conference proceedings, registration issues, council meeting"
LREC 2022,http://elra.info/en/lrec/lrec-2022/,AI-ML,"lrec 2022, language resources (lrs), information extraction, information retrieval, audio-visual and multimedia search, speech dictation, design of lrs, construction of lrs, use of lrs"
IJCAI-ECAI 2022,https://ijcai-22.org/,AI-ML,"artificial intelligence, ijcai, ijcai-ecai 2022, call for papers, survey track, workshops, formal concept analysis (fca), ai research"
FAccT 2022,https://facctconference.org/2022/,AI-ML,"acm facct, fairness, accountability, transparency, computer science, cross-disciplinary, ethics, research agenda"
CHIL 2023,https://www.chilconference.org/,AI-ML,"child life, child abuse, exceptional children, gender-affirming care, hospitalized children, children in state custody, co-teaching, classroom management, instructional planning, literacy instruction"
NAACL 2022,https://2022.naacl.org/,AI-ML,"naacl-hlt 2022, human language technologies, computational linguistics, reproducibility, named entity extraction, event extraction, semeval"
ICWSM 2022,https://www.icwsm.org/2022/index.html/,AI-ML,"icwsm, web and social media, aaai conference, social media research, linguistic characterization, divisive topics online, interdisciplinary research"
ICML 2022,https://icml.cc/Conferences/2022,AI-ML,"machine learning, artificial intelligence, academic conference, deep learning, bayesian methods, meta-learning, approximate inference, research, scholarly publishing, topic modeling"
SIGIR 2022,https://sigir.org/sigir2022/,AI-ML,"sigir 2022, information retrieval, research and development, conference, proceedings, session-based recommendation, group recommendation, workshop proposals"
RSS 2022,https://roboticsconference.org/2022,AI-ML,"road safety, simulation, digitalisation, rss conference, county council meeting, professional development, public meeting"
KDD 2023,https://kdd.org/kdd2023/,AI-ML,"kdd, knowledge discovery, data mining, acm sigkdd, machine learning, data science, paper submissions, conference proceedings"
ICIP 2022,https://2022.ieeeicip.org,AI-ML,"image processing, sensing, representation, modeling, registration, ionizing processes, radiation chemistry, ieee, scientific conferences"
UAI 2022,https://www.auai.org/uai2022/,AI-ML,"uncertainty in artificial intelligence, uai 2022, machine learning research, conference proceedings, workshops, kdd, artificial intelligence"
IROS 2022,https://iros2022.org/,AI-ML,"iros, robotics, intelligent robots, systems, robotics research, technical program, plenary talks, keynote presentations, ieee, rsj"
AutoML-Conf 2022,https://automl.cc/,AI-ML,"automl, conference, automl methods, applications of automl, research, call for papers, topics of interest, parallel tracks, researchers, users"
CoLLAs 2022,https://lifelong-ml.cc,AI-ML,"lifelong learning agents, continual learning, reinforcement learning, supervised learning, unsupervised learning, machine learning, continual learning theory, continual learning paradigms, class-incremental learning, task-incremental learning"
ECCV 2022,https://eccv2022.ecva.net/,AI-ML,"eccv2022, computer vision, conference program, industry exhibition, tutorials, water & sanitation, sewer improvements, hydrant flushing"
RO-MAN 2022,http://www.ro-man2022.org/,AI-ML,"robot and human interactive communication, robotics, automation, ancient greek philosophy, roman philosophy, european philosophy, philosophy, theories, methodologies, technologies"
InterSpeech 2022,http://www.interspeech2022.org/,AI-ML,"speech communication, interspeech, speech disorders, voice disorders, hearing disorders, discourse, dialogue, speech research, special sessions, isca archive"
ECML/PKDD 2022,https://2022.ecmlpkdd.org/,AI-ML,"machine learning, knowledge discovery in databases, data mining, artificial intelligence, academic conference, peer-reviewed research, workshops, tutorials"
ISMIS 2022,https://ismis2022.icar.cnr.it/,AI-ML,"artificial intelligence (ai), machine learning, deep learning, explainable ai (xai), data mining, recommender systems, computer vision (cv), natural language processing (nlp), robotics, ai conferences"
SIGGRAPH Asia 2022,https://sa2022.siggraph.org/,AI-ML,"siggraph asia, computer graphics, technical papers, innovation, courses, research, academic conference, industry experts"
evoMUSART 2023,https://www.evostar.org/2023/evomusart/,AI-ML,"evomusart, artificial intelligence, music, sound, art, design, evolutionary computation, multidisciplinary, creative ai"
LOG 2022,https://logconference.org/,AI-ML,"anesthesiology, public health, annual meetings, climate change, covid-19, environmental issues, asa, apha, healthcare, health policy"
AI4science NASSMA 2022 2022,ai4science.nassma.ai,AI-ML,"ai conferences, ai4science nassma, chatgpt, autogpt, dall-e, coling, conference deadlines, imu (international mathematical union), academic research"
SIGGRAPH 2023,https://s2023.siggraph.org/,AI-ML,"siggraph 2023, computer graphics, art and design, science and technology, innovation, virtual reality (vr), art papers, installations, industry topics, education"
ICDM 2023,https://www.cloud-conf.net/icdm2023/,AI-ML,"data mining, icdm, ieee, research conference, call for papers, topics of interest, conference program, keynote speakers"
ECML/PKDD 2023,https://2023.ecmlpkdd.org/,AI-ML,"machine learning, data mining, kdd, ecml pkdd, research, applied data science, european conference"
ISWC 2023,https://iswc2023.semanticweb.org/,AI-ML,"iswc 2023, ubicomp, conference program, workshops, tutorials, sponsorship, technical program, conference topics"
CIKM 2023,https://cikm2023.github.io/,AI-ML,"cikm, information and knowledge management, research conference, paper submission, workshops, research challenges, academic publishing standards, author registration, paper notification, presentation of work"
AI World Barcelona 2023,https://ai-world-barcelona.com,AI-ML,"mwc barcelona, iot solutions world congress, mobile technology, iot, connectivity, technology conferences, innovation, networking, gsma"
SPECOM 2024,https://specom2024.ftn.uns.ac.rs,AI-ML,"speech processing, artificial intelligence (ai), natural language processing (nlp), machine learning (ml), specom 2024, linguistics, computer vision (cv), robotics, research, ai conferences"
MIPR 2024,https://sites.google.com/view/mipr2024,AI-ML,"multimedia information processing, multimedia information retrieval, ieee, conference, workshops, challenge contests, tutorials, panels, keynote speeches"
AIware 2024,https://2024.aiwareconf.org/#,AI-ML,"aiware, ai-powered software, conference program generation, automated scheduling, challenge track, software engineering, artificial intelligence, academic conferences"
AutoML 2024,https://2024.automl.cc/,AI-ML,"automl, automated machine learning, machine learning, conference, research, automation, proceedings, call for papers"
HIMSS Global Health Conference & Exhibition,https://www.himss.org/global-conference,Health Informatics,"himss, global health conference, healthcare, health it, innovation, digital health, networking, healthcare professionals"
AMIA Annual Symposium,https://amia.org/education-events/amia-annual-symposium,Health Informatics,"amia annual symposium, biomedical informatics, health informatics, research, practice, disease phenomena, information management, communications management, medical informatics, amia"
AMIA Clinical Informatics Conference (CIC),https://amia.org/education-events/amia-2025-clinical-informatics-conference,Health Informatics,"clinical informatics, healthcare, amia, clinician wellbeing, documentation burden, applied clinical informatics, medical informatics, clinical informatics conference"
HLTH (US & Europe),https://hlth.com,Health Informatics,"digital health, healthcare information and management systems, health innovation, cybersecurity, privacy, european health, global health, healthcare events, healthcare transformation, healthcare ecosystem"
ViVE,https://www.viveevent.com,Health Informatics,"vive event, conferences, networking, agenda, speakers, show floor, topics & themes, latina conference"
MEDICA,https://www.medica-tradefair.com,Health Informatics,"medical conferences, health it, laboratory medicine, oncology, medical writing, health communication, health equity, regulatory writing, inclusive language, grant writing"
World Health Expo (WHX),https://www.worldhealthexpo.com,Health Informatics,"public health, health it, medical laboratories, disease prevention, digital health, health innovation, healthcare conferences, chronic health conditions, global health"
International Conference on Medical and Health Informatics (ICMHI),https://icmhi.org,Health Informatics,"medical informatics, health informatics, icmhi, healthcare, international conference, hybrid conference, kyoto"
Connected Health Conference,https://www.connectedhealthconf.org,Health Informatics,"medical devices, combination products, connected health, drug delivery, integrated innovation, community health, social determinants of health (sdoh), smart health, healthcare"
Digital Healthcare Innovation Summit,https://dhis.net,Health Informatics,"digital health, healthcare innovation, ai, iaas, future of healthcare, virtual care, distributed care, healthcare technology"
Cancer Informatics for Cancer Centers Fall Symposium,https://www.cancer.gov/about-nci/organization/ccct/initiatives/cancer-informatics,Health Informatics,"cancer informatics, ci4cc, ai in oncology, cancer centers, oncology, symposium, scientific drivers"
"International Conference on Health Informatics, Intelligent Systems and Networking Technologies (HINT)",https://hint.manipal.edu,Health Informatics,"health informatics, intelligent systems, artificial intelligence, networking technologies, brain informatics, healthcare information management, healthcare technology, healthcare innovation"
Healthcare Information and Management Systems Society (HIMSS) Europe,https://www.himss.org/event-himss-europe,Health Informatics,"himss, healthcare information, management systems, healthcare technology, healthcare innovation, healthcare conferences, health exhibitions, european health, knowledge-sharing, healthcare transformation"
"Health Sciences, Systems and Technologies (HSST)",https://www.hsstconference.org,Health Informatics,"health sciences, health technology, medical education, interdisciplinary education, health systems, academic conferences, higher education, health research"
International Symposium on Medical Decision Science (ISMDS),https://ismds.org,Health Informatics,"parkinson's disease, movement disorders, medical decision science, medical and health informatics, pharmacology, biotechnology, medical conferences, clinical breakthroughs, taiwan"
Virginia HIMSS Annual Fall Conference,https://www.vahimss.org,Health Informatics,"himss, healthcare it, information security, data and analytics, healthcare technology, conferences, healthcare"
GNUHealth Con,https://www.gnuhealthcon.org,Health Informatics,"gnu health, orthanc, international conference, open source, health informatics, medical software, presentations, healthcare"
AIMed Global Summit,https://aimed.events,Health Informatics,"artificial intelligence (ai), medicine, ai in medicine, information management, imaging technology, healthcare, conferences/summits"
International Conference on Nursing and Healthcare,https://www.nursingconference.com,Health Informatics,"nursing conferences, healthcare, nursing care, pioneering technology, nursing research, functional medicine, healthcare practices, networking"
Healthcare Summit London,https://thenueconomy.com/top-global-health-technology-conferences-2025-26/,Health Informatics,"healthcare, global health, events, strategic business, thought leadership, politics, science, private sector, international platforms"
